"X.U.FEFF.Comment","text_tokens","V3"
"IGUAL YO MEDIJERON QUE NO TIENEN REGISTRO...Y ENTONCES..."," ","igual yo medijeron que no tener registrar . . . y entonces . . ."
"OK GRACIAS"," ","ok gracia"
"AFP CONFIA cuál es la edad  para las mujeres ..en la que pueden reclamar el ahorro .."," ","afp confia cuál ser el edad parar el mujer . . en el que poder reclamar el ahorrar . ."
"Crismeri Sanchez lo mismo hice yo amigo y ahora me salen con esa estupidez.Hice mis aportaciones durante 17 años y me salen con esa mmmm."," ","crismeri sanchez el mismo hacer yo amigar y ahora me salar con ese estupidez.hice mi aportación durante 17 año y me salar con ese mmmm ."
"Cesar Portillo y s nosotros quien podrá defendernos jeje <U+0001F9B8>"," ","cesar portillo y segundo nosotros quien poder defendernos jeje"
"ya lo he pedido pero salebq mi número de dui no está registrado ..."," ","ya el haber pedir pero salebq mi número de dui no estar registrar . . ."
"hola"," ","hola"
"Hola alguien sabe si ya depositaron a los pensionados de pension minima el aumento?? por fa "," ","hola alguien saber si ya depositar a el pensionado de pension minima el aumentar ? ? por fa"
"Buenas tardes nesecito un estado de cuenta con urgencia"," ","bueno tardar nesecito uno estar de contar con urgencia"
"AFP CONFIA pura perdida de tiempo para que me envíen mi estado de cuenta"," ","afp confia puro perder de tiempo parar que me enviar mi estar de contar"
"No es efectivo el servicio pues por medio de Tessa lo intente como 10 veces y es un rollo, la verdad no sirve para nada.heee"," ","no ser efectivo el servicio pues por mediar de tessa el intentar comer 10 vez y ser uno rollo , el verdad no servir parar nada.heee"
"AFP CONFIA actualmente resido en México,y es muy complicado para llamar.,un método para que me envíes mi NUP, y el estado de cuenta en la Afp"," ","afp confia actualmente residir en méxico , y ser muy complicar parar llamar . , uno método parar que me enviar mi nup , y el estar de contar en el afp"
"Escribí al número y me dice que no existe ningún registro con esa información que doy"," ","escribir al número y me decir que no existir ninguno registrar con ese información que dar"
"AFP CONFIA llamo a ese número y no dan información que servicio muy malísimo.A los que les elegimos para administrar NUESTROS, fondos de aportaciones no esperábamos este tipo de comportamiento para con los afiliados"," ","afp confia llamar a ese número y no dar información que servicio muy malísimo.a el que les elegir parar administrar nuestro , fondo de aportación no esperar este tipo de comportamiento parar con el afiliado"
"Y cuantos días se tardan para dar un estado de cuenta por el was"," ","y cuanto día se tardar parar dar uno estar de contar por el was"
"Y c puede llamar por Messenger"," ","y c poder llamar por messenger"
"22677777"," ","22677777"
"Quiero saver miestado de mi cuenta porfavor"," ","querer saver miestado de mi contar porfavor"
"Necesito saber si para firmar sobrevivencia es de ir personalmente"," ","necesitar saber si parar firmar sobrevivencia ser de ir personalmente"
"Hoy intente comunicarme y aparece desconectado el num."," ","hoy intentar comunicarme y aparecer desconectar el num ."
"Dios les bendiga gracias por la información <U+0001F44D>"," ","dios les bendecir gracia por el información <U+0001F44D>"
"Cómo puedo hacer para obtener una reposición de mi tarjeta de afiliación nut o una Constancia del mismo para presentarlo en el consulado para el trámite de devolución de saldó?"," ","cómo poder hacer parar obtener unir reposición de mi tarjeta de afiliación nut o unir constancia del mismo parar presentarlo en el consulado parar el trámite de devolución de saldar ?"
"."," ","."
"Buenas tardes"," ","bueno tardar"
"Una prengunta quisiera  saber si ya esta abierta la agencia de sonsonate"," ","unir prengunta querer saber si ya este abrir el agenciar de sonsonate"
"Deseo hacer una cita para la agrncia de Soyspango."," ","desear hacer unir citar parar el agrncia de soyspango ."
"AFP CONFIA mil gracias por la información"," ","afp confia mil gracia por el información"
"Hola  buenos dias  kiero saber cuando ban adepositar "," ","hola bueno dias kiero saber cuando ban adepositar"
"Hola quisiera saber cuándo van adepositar"," ","hola querer saber cuándo ir adepositar"
"Necesito información"," ","necesitar información"
"Ya depositaran pensión de enero?"," ","ya depositar pensión de enero ?"
"AFP CONFIA ok gracias"," ","afp confia ok gracia"
"Hola buenos días el ministerio de asienda ya mando el dinero para aumentar las pensiones y porque ustedes no lo an aplicado todavía. Ya que retire la pensión Y no m viene el aumento que pasa si el 21 lo mandaron "," ","hola bueno día el ministerio de asienda ya mandar el dinero parar aumentar el pensión y porque vosotros no el an aplicar todavía . ya que retirar el pensión y no metro venir el aumentar que pasar si el 21 el mandar"
"AFP CONFIA buenas noche sera q ya depositaron el abono del aumento de pensiones "," ","afp confia bueno noche sera q ya depositar el abonar del aumentar de pensión"
"AFP CONFIA osea el completo del aumento"," ","afp confia osea el completar del aumentar"
"AFP CONFIA gracias "," ","afp confia gracia"
"Por favor ya esta el depósito del mes enero de pensión?"," ","por favor ya este el depósito del mes enero de pensión ?"
"Quiero saber porque no me  aparece mi depósito de mi pensión si dicen que ya depositaron"," ","querer saber porque no me aparecer mi depósito de mi pensión si decir que ya depositar"
"Hace días compartieron el calendario de pago el depósito será mañana"," ","hacer día compartir el calendario de pagar el depósito ser mañana"
"Buenos días ya podemos  ir a cobrar  la pensión de este mes "," ","bueno día ya podar ir a cobrar el pensión de este mes"
"AFP CONFIA Solicito de su amable asistencia para solicitar estado de cuenta de los ultimos 6 meses he pasado 2 dias intentando solicitarlo por los canales digitales pero siempre me brinda el mismo error y no se me es posible solicitarlo, solicito de su ayuda por favor para realizar un tramite personal, de ante mano muchas gracias. "," ","afp confia solicitar de su amable asistencia parar solicitar estar de contar de el ultimos 6 mes haber pasar 2 dias intentar solicitarlo por el canal digital pero siempre me brindar el mismo error y no se me ser posible solicitarlo , solicitar de su ayudar por favor parar realizar uno tramitar personal , de ante manar mucho gracia ."
"En que agencias estan atendiendo"," ","en que agencia estan atender"
"Hola buenos días yaremesaron"," ","hola bueno día yaremesaron"
"Buenos dias"," ","bueno dias"
"Sabe el correo Electrónico que piden lo di equivocado di el del Facebook y tenía k se el otro  es por el anticipo del 25/ j hago"," ","saber el correar electrónico que pedir el dar equivocar dar el del facebook y tener k se el otro ser por el anticipar del 25 / j hacer"
"Buenos días necesito una cita por favor"," ","bueno día necesitar unir citar por favor"
"AFP CONFIA  gracias"," ","afp confia gracia"
"Buenas días, qué opción tengo que marcar en su sitio web para programar cita, ya sea presencial en la agencia central o virtual y poder continuar con el proceso de retiro por vejez.  Ya tengo el Historial Laboral del INPEP"," ","bueno día , qué opción tener que marcar en su sitiar web parar programar citar , ya ser presencial en el agenciar central o virtual y poder continuar con el procesar de retirar por vejez . ya tener el historial laboral del inpep"
"Ola buenos días como puedo aser para sacar sita para la pensión de es mes de enro"," ","ola bueno día comer poder aser parar sacar sito parar el pensión de ser mes de enro"
"Buenos dias q requisiton piden para solicitar el anticipo"," ","bueno dias q requisiton pedir parar solicitar el anticipar"
"AFP CONFIA necesito saber mi estado d cuenta"," ","afp confia necesitar saber mi estar d contar"
"Hola buenos dias ustedes dicen ahi q uno puede solicitar el estado de cuenta y yo cambie de correo cuando me meto al msg o al wasap para cambiarlo no me responden"," ","hola bueno dias vosotros decir ahi q unir poder solicitar el estar de contar y yo cambiar de correar cuando me meter al msg o al wasap parar cambiarlo no me responder"
"Necesito un estado de cuenta"," ","necesitar uno estar de contar"
"Saludos cordiales AFP CONFIA atentamente solicitandoles de favor una cita para que expliquen si podre retirar mi ya que soy liciado de guerra feliz dia"," ","saludo cordial afp confia atentamente solicitandoles de favor unir citar parar que explicar si podre retirar mi ya que ser liciado de guerra feliz dia"
"Hola me gustaría mi estado de cuenta se podría por favor"," ","hola me gustar mi estar de contar se poder por favor"
"La verdad que en WhatsApp tiene dis que para ayudar y esa maquina tonta no me encuentro segun mi número de DUI"," ","el verdad que en whatsapp tener dis que parar ayudar y ese maquinar tonto no me encontrar segun mi número de dui"
"Buenas yo quiero el anticipo que tengo que hacer"," ","bueno yo querer el anticipar que tener que hacer"
"AFP CONFIA gracias"," ","afp confia gracia"
"Buenas noches, puedo saber cuantos años llevo laborando?"," ","bueno noche , poder saber cuanto año llevar laborar ?"
"Yo estoy pensionada no puedo solicitar anticipo"," ","yo estar pensionado no poder solicitar anticipar"
"Muy buenos días. Yo fui a la AFP y me dieron una hoja donde tenia que a ser una video llama y no pude llame y me dieron la cita para el 15 de marzo yo quiero retirar mis ahorros por vejez será que tiene la misma validez la cita"," ","muy bueno día . yo ir a el afp y me dar unir hoja donde tenia que a ser unir video llamar y no poder llamar y me dar el citar parar el 15 de marzo yo querer retirar mi ahorro por vejez ser que tener el mismo validez el citar"
"Hola afp como ago para odteber una cita quiero tramitar mi pencion"," ","hola afp comer ago parar odteber unir citar querer tramitar mi pencion"
"Necesito una cita para retirar mi número NUP como puedo hacer ...?La sucursal de sonsonate en metrocentro está cerrada ..."," ","necesitar unir citar parar retirar mi número nup comer poder hacer . . . ? el sucursal de sonsonate en metrocentro estar cerrar . . ."
"Como realizar una video llamada"," ","comer realizar unir video llamar"
"Hola muy buenos días ¿Cómo hago para obtener mi tarjeta AFP? que el mes de noviembre del año pasado estoy yendo a la que esta en Sonsonate y se encuentra cerrado"," ","hola muy bueno día ¿ cómo hacer parar obtener mi tarjeta afp ? que el mes de noviembre del año pasar estar ir a el que este en sonsonate y se encontrar cerrar"
"Ya estan trabajando normal en Sucursal de Soyapango"," ","ya estan trabajar normal en sucursal de soyapango"
"Mucha gracias"," ","mucho gracia"
"Cómo puedo hacer para tener una cita virtual para solicitar el NUP y estado de cuenta persona.Recido en México."," ","cómo poder hacer parar tener unir citar virtual parar solicitar el nup y estar de contar persona.recido en méxico ."
"AFP CONFIA gracias lo haré en horas hábiles"," ","afp confia gracia el hacer en hora hábil"
"Nesesito con sulta mi estado de cuenta "," ","nesesito con sulta mi estar de contar"
"Puedo saber a través de que medio o app se realiza la video llamada de mi cita?"," ","poder saber a través de que mediar o app se realizar el video llamar de mi citar ?"
" Hola necesito un historial laboral d AFP xfa"," ","hola necesitar uno historial laboral d afp xfa"
"Como puedo solicitar cita en agencia soyapango, ya que solo sale agencia central, Santa Ana y san San Miguel"," ","comer poder solicitar citar en agenciar soyapango , ya que solo salar agenciar central , santo ana y santo santo miguel"
"No funciona dice q no encuentran datos"," ","no funcionar decir q no encontrar dato"
"Yo necesiti mi estado de cuenta que pasos tengo que hacer o llegar personal mi fecha de nacimiento 7 7 54"," ","yo necesiti mi estar de contar que paso tener que hacer o llegar personal mi fechar de nacimiento 7 7 54"
"AFP CONFIA  me puede regalar mi estado de cuentas"," ","afp confia me poder regalar mi estar de contar"
"Me puede regalar mi estado de cuenta por favor "," ","me poder regalar mi estar de contar por favor"
"Yo nesecito mi estado pero no melo pueden far"," ","yo nesecito mi estar pero no melo poder far"
"Q fecha de febrero ban adepositar"," ","q fechar de febrero ban adepositar"
"Les e enviado mi correo electrónico  solicitando mi estado  de cuenta  y no me resuelven"," ","les e enviar mi correar electrónico solicitar mi estar de contar y no me resolver"
"AFP CONFIA ya actualicé los datos,  me enviaron el mes pasado el estado de mi cuenta, pero este mes no se que paso que no me responden "," ","afp confia ya actualizar el dato , me enviar el mes pasar el estar de mi contar , pero este mes no se que pasar que no me responder"
"Puras mentiras ni lo envian"," ","puro mentira ni el envian"
"Iglesias Reyes Enrique a mi si, inmediatamente me lo enviaron y lo pedí por WhatsApp "," ","iglesia rey enrique a mi si , inmediatamente me el enviar y el pedir por whatsapp"
"Julio E. Parada nombre a mi  ni me contestaron"," ","julio e . parado nombrar a mi ni me contestar"
"Iglesias Reyes Enrique lo q pasa es vos por WhatsApp al.numero 22677777 y ahibte contesta una voz automatica que se llama Tessa creo y ahi te saca varias preguntas y solo dale click te pide unos datos y te lo envian"," ","iglesia rey enrique el q pasar ser tú por whatsapp al.numero 22677777 y ahibte contestar unir voz automatica que se llamar tessa crear y ahi te sacar vario pregunta y solo dale click te pedir uno dato y te el envian"
"Yo solicite mi estado y dicen que no aparece nada con mi numero de documentos"," ","yo solicitar mi estar y decir que no aparecer nadar con mi numerar de documento"
"nesesito mi historia laboral"," ","nesesito mi historia laboral"
"Pura mentiras dice que no encuentran nada con mi número"," ","puro mentira decir que no encontrar nadar con mi número"
"ese  sistema no sirve desde hace dos días intentado sacar un estado de cuenta y no funciona el sistema"," ","ese sistema no servir desde hacer do día intentar sacar uno estar de contar y no funcionar el sistema"
"Yonesesito el estado pero no melo pueden dar"," ","yonesesito el estar pero no melo poder dar"
"Nesecito retirar mi adelanto de mis ahoros"," ","nesecito retirar mi adelantar de mi ahoros"
"AFP CONFIA necesito mi estado de cuenta y en el momento de ingresar número de documento me dice que no encuentra datos con ese número <U+0001F612>"," ","afp confia necesitar mi estar de contar y en el momento de ingresar número de documentar me decir que no encontrar dato con ese número <U+0001F612>"
"Cómo solicito mi estado de cuenta."," ","cómo solicitar mi estar de contar ."
"AFP CONFIA ok gracias"," ","afp confia ok gracia"
"Necesito hacer mi pago en linea y no lo he podido hacer"," ","necesitar hacer mi pagar en linear y no el haber poder hacer"
"Si de verdad fuera rápido y fácil seria genial, pero aún sigo esperando q me atiendan AFP CONFIA"," ","si de verdad ir rápido y fácil seriar genial , pero aun seguir esperar q me atender afp confia"
"Necesito un estado de cuenta..... intente ingresar desde la pagina Virtual pero no tengo acceso sera que me ayudan?"," ","necesitar uno estar de contar . . . . . intentar ingresar desde el paginar virtual pero no tener acceso sera que me ayudar ?"
" Agencia Soyapango"," ","agenciar soyapango"
"Quiero jubilarse"," ","querer jubilarse"
"Buenos días yo tengo cita el 16 de abril mi pregunta es las copias de los documentos los tengo que llevar en una memoria USB o en papel"," ","bueno día yo tener citar el 16 de abril mi preguntar ser el copia de el documento el tener que llevar en unir memoria usb o en papel"
"Buenas tardes fui a al INPEP a recoger récord laboral el martes 16 de febrero y me dijeron que hoy día jueves los llevara los documentos a las AFP y fui y me dijeron que tengo que sacar cita no se por que en el INPEP no me dijeron que tenía que sacar cita  y bueno estoy llamando a las AFP y nunca me contestan como puedo hacer para obtener una cita"," ","bueno tardar ir a al inpep a recoger récord laboral el martes 16 de febrero y me decir que hoy día jueves el llevar el documento a el afp y ir y me decir que tener que sacar citar no se por que en el inpep no me decir que tener que sacar citar y bueno estar llamar a el afp y nunca me contestar comer poder hacer parar obtener unir citar"
"Kristal Ardon De Guti  mami puede hacer su consulta"," ","kristal ardon de guti mami poder hacer su consultar"
"buenos dias que edad mínima es para solicitar el adelanto del veinticinco por ciento gracias bendiciones"," ","bueno dias que edad mínimo ser parar solicitar el adelantar del veinticinco por ciento gracia bendición"
"AFP CONFIA buenos dias una consulta mi hermana nesecita sacar el veinticinco por ciento pero ella no tiene los medios para aserlo en linea como puede aser gracias espero su respuesta y comprensión bendiciones "," ","afp confia bueno dias unir consultar mi hermanar nesecita sacar el veinticinco por ciento pero él no tener el medio parar aserlo en linear comer poder aser gracia esperar su respuesta y comprensión bendición"
"Quiero saber de cuánto es el precio $$ por sacar la tarjeta"," ","querer saber de cuánto ser el preciar $ $ por sacar el tarjeta"
"Oh por renovarla"," ","oh por renovarla"
"AFP CONFIA Muchas gracias"," ","afp confia mucho gracia"
"AFP CONFIA Si no es mucha molestia me pudieran regalar la dirección de AFP en santa Ana ....porfa"," ","afp confia si no ser mucho molestia me poder regalar el dirección de afp en santo ana . . . . porfa"
"AFP CONFIA Muchas gracias muy amables ...Dios les bendiga"," ","afp confia mucho gracia muy amable . . . dios les bendecir"
"AFP CONFIA con respecto al aumento, para la pensión mínima, solo una vez iba a ser aplicada ( Enero)?? "," ","afp confia con respectar al aumentar , parar el pensión mínimo , solo unir vez ir a ser aplicar ( enero ) ? ?"
"Tengo 52 años,necesito un anticipo"," ","tener 52 año , necesitar uno anticipar"
"Buenos días yo mande mis datos para el anticipo por este medio porq salía q si aplicaba pero hasta ahora no he recibido ningún correo o mensaje"," ","bueno día yo mandar mi dato parar el anticipar por este mediar porq salir q si aplicar pero hasta ahora no haber recibir ninguno correar o mensaje"
"AFP CONFIA muchas gracias por su atención "," ","afp confia mucho gracia por su atención"
"Buenas tardes, como se puede hacer para solicitar el anticipo de los ahorros, cuando no se tiene correo? Es indispensable el correo?"," ","bueno tardar , comer se poder hacer parar solicitar el anticipar de el ahorro , cuando no se tener correar ? ser indispensable el correar ?"
"Cuál soy requisitos adalato ya tengo46años 10años contizado s"," ","cuál ser requerir adalato ya tengo46años 10años contizado segundo"
"AFP CONFIA para préstamo"," ","afp confia parar préstamo"
"Cuál soy requisitos"," ","cuál ser requerir"
"AFP CONFIA sobre tengo de saldo"," ","afp confia sobrar tener de saldar"
"Quiero saber si ya depositaron la pensión de febrero"," ","querer saber si ya depositar el pensión de febrero"
"Cuando depoditaran"," ","cuando depoditaran"
"pago.depencion.paracuando"," ","pago.depencion.paracuando"
"Quiero saber si ya depositaron la pensión de febrero"," ","querer saber si ya depositar el pensión de febrero"
"Hola será que me puede mandar un istorial dé mi tiempo cotizado"," ","hola ser que me poder mandar uno istorial dar mi tiempo cotizar"
"Hola sera que me pueden mandar un historial de mi tiempo cotizado"," ","hola sera que me poder mandar uno historial de mi tiempo cotizar"
"Tengo entendido que el salario de los pensionados, sería en los últimos cinco días de final de mes, días laborales, no aferrándose al calendario de pago qué CONFÍA, mandó a publicar, violando una regla ya establecida por  el sistema de pensiones, dónde dice, qué la fecha de pago del mes de febrero seria 23 , sí contáramos los días laborales, sólo serían 4 días, disculpen, pero estás anomalías serán corregidas dentro de poco, gracias."," ","tener entender que el salariar de el pensionado , ser en el último cincar día de final de mes , día laboral , no aferrándose al calendario de pagar qué confiar , mandar a publicar , violar unir reglar ya establecer por el sistema de pensión , dónde decir , qué el fechar de pagar del mes de febrero seriar 23 , sí contar el día laboral , sólo ser 4 día , disculpar , pero estar anomalía ser corregir dentro de poco , gracia ."
"Porfavor pueden      poner cuando  depositan "," ","porfavor poder poner cuando depositar"
"Qq fecha depositan la pensión de febrero"," ","qq fechar depositar el pensión de febrero"
"AFP CONFIA gracias"," ","afp confia gracia"
"Si cuando depositaran"," ","si cuando depositar"
"AFP CONFIA gracias "," ","afp confia gracia"
"Buenas tardes, cuando van a depositar la pensión de febrero"," ","bueno tardar , cuando ir a depositar el pensión de febrero"
"Hola buenas quisiera saber cuando depositaran la pensión"," ","hola bueno querer saber cuando depositar el pensión"
"Hola es número no lo contestan a mi madre desde diciembre no le d pocitan q podemos aser"," ","hola ser número no el contestar a mi madre desde diciembre no le d pocitan q podar aser"
"Hola tiene número de WhatsApp"," ","hola tener número de whatsapp"
"Y si quiero un estado de cuentas para ver si aplicó aun anticipo de saldo como hago"," ","y si querer uno estar de contar parar ver si aplicar aun anticipar de saldar comer hacer"
"Hola nesesito, el estado de cuenta"," ","hola nesesito , el estar de contar"
"Necesito mi estado de cuenta xf"," ","necesitar mi estar de contar xf"
"Será q ya depositaron la pensión de este mes"," ","ser q ya depositar el pensión de este mes"
"Y cuando van hacer el depósito de este mes"," ","y cuando ir hacer el depósito de este mes"
"AFP CONFIA El aumento de pensión ya es fijo o era solo por un mes?"," ","afp confia el aumentar de pensión ya ser fijar o erar solo por uno mes ?"
"Quieyo llenar el control de spbrevivencia. No me contesta el tel .22677777"," ","quieyo llenar el control de spbrevivencia . no me contestar el tel . 22677777"
"Que dia sera el pago dr este mes por favor contesten"," ","que dia sera el pagar dr este mes por favor contestar"
"Si muchisimas gracias bendiciones y ya tome nota feliz noche"," ","si muchisimas gracia bendición y ya tomar notar feliz noche"
"Emiten las solvencias en linea o siempre es necesario presentarse a sus agencias con la carta solicitandolas?"," ","emitir el solvencia en linear o siempre ser necesario presentarse a su agencia con el carta solicitandolas ?"
"Quiero saber si ya depositaron la pensión de febrero"," ","querer saber si ya depositar el pensión de febrero"
"AFP CONFIA gracias "," ","afp confia gracia"
"AFP CONFIA asta el 23 "," ","afp confia asta el 23"
"Como puedo pedir una constancia  de sueldo de forma virtual me puede ayudar por favor"," ","comer poder pedir unir constancia de soldar de formar virtual me poder ayudar por favor"
"Buenos días, donde puedo retirar la tarjeta?, ya estoy afiliada"," ","bueno día , donde poder retirar el tarjeta ? , ya estar afiliado"
"Buenos días cuando depositarán lo delas pensiones"," ","bueno día cuando depositar el delas pensión"
"Buenos días.. A que número puedo preguntar sobre la pensiones.. Ahora fue mi mamá y solo le depositaron la mitad. "," ","bueno día . . a que número poder preguntar sobrar el pensión . . ahora ir mi mamá y solo le depositar el mitad ."
"Necesito mi estado de cuenta"," ","necesitar mi estar de contar"
"Hola quiero registrarme y no puedo tengo ahorros con ustedes y dice que mi dui nk existe ahi que pasa"," ","hola querer registrarme y no poder tener ahorro con vosotros y decir que mi dui nk existir ahi que pasar"
"Buenas yo quiero afiliarme por primera ves y que me den la tarjeta, soy de santa Ana reciben solo con cita?"," ","bueno yo querer afiliarme por 1 ve y que me dar el tarjeta , ser de santo ana recibir solo con citar ?"
"Hola buenas tardes quiero reponer una tarjeta de AFP y quiero saber mi estado de cuentas porque aquí en lourdes  colón esta cerrado las oficinas  adonde ahy que ir a sacarlos "," ","hola bueno tardar querer reponer unir tarjeta de afp y querer saber mi estar de contar porque aquí en lourdes colón este cerrar el oficina adonde ahy que ir a sacarlos"
"Necesito mí estado de cuenta tengo 53 años cual es el proceso "," ","necesitar mí estar de contar tener 53 año cual ser el procesar"
"He solicitado desde enero el anticipo de mi saldo, llene el formulario me solicitaron por correo los documentos todo lo he realizado pero no recibo respuesta no se adonde me pueden ayudar para saber como va mi proceso."," ","haber solicitar desde enero el anticipar de mi saldar , llenar el formulario me solicitar por correar el documento todo el haber realizar pero no recibir respuesta no se adonde me poder ayudar parar saber comer ir mi procesar ."
"AFP CONFIA ya lo hice ya mande un correo alli y no responden ya paso mas de 1 mes de mi solicitud y se supone que era un tramite rápido. "," ","afp confia ya el hacer ya mandar uno correar alli y no responder ya pasar mas de 1 mes de mi solicitud y se suponer que erar uno tramitar rápido ."
