"X.U.FEFF.Comment","text_tokens","V3"
"AFP Crecer gracias "," ","afp crecer gracia"
"Roxy Campos Estamos para ayudarte."," ","roxy campo estar parar ayudarte ."
"Nesesito ahutualizar. Datos no puedo para antisipo de ahorro."," ","nesesito ahutualizar . dato no poder parar antisipo de ahorrar ."
"Juanfrancisco Martinezgarcia Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","juanfrancisco martinezgarcia hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"Mi esposo quiere actualisar sus datos y nole acepta su contra de correo porque esta toda en minuscula que puede haser"," ","mi esposar querer actualisar su dato y nole aceptar su contra de correar porque este todo en minuscula que poder haser"
"Alia Anabell Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","alia anabell hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"AFP Crecer quiere haser lodel usuario y nole acepta el correo"," ","afp crecer querer haser lodel usuario y nole aceptar el correar"
"Alia Anabell Te hemos respondido vía inbox."," ","alia anabell te haber responder vía inbox ."
"Necesito saber como puedo hacer para que me regresen mi dinero  según la última ley de los que ya no residimos en El Salvador?"," ","necesitar saber comer poder hacer parar que me regresar mi dinero según el último ley de el que ya no residir en el salvador ?"
"Hola, te compartimos la información:  "," ","hola , te compartir el información :"
"AFP Crecer Gracias. "," ","afp crecer gracia ."
"Cess Kñas Estamos para ayudarte."," ","cess kñas estar parar ayudarte ."
"AFP Crecer  Se sabe si darán el 100% o un porcentaje?  "," ","afp crecer se saber si dar el 100 % o uno porcentaje ?"
"Cess Kñas Todo, Cesar"," ","cess kñas todo , cesar"
"Cess Kñas Hola, te comentamos que es retiro total de tus ahorros.¡Saludos!"," ","cess kñas hola , te comentar que ser retirar total de tu ahorro . ¡ saludo !"
"Rosmery Vigil "," ","rosmery vigil"
"Liss Ochoa  Gracias "," ","liss ochoa gracia"
"Rosmery Vigil jiiiu"," ","rosmery vigil jiiiu"
"Buenas tardes que se entiende por actualizar datos"," ","bueno tardar que se entender por actualizar dato"
"Orlando Vasquez Hola, nos referimos a actualizar información como: beneficiarios, correo, celular, etc.¡Saludos! "," ","orlar vasquez hola , no referir a actualizar información comer : beneficiario , correar , celular , etcétera . ¡ saludo !"
"AFP Crecer "," ","afp crecer"
"Buenos días, desde noviembre 2020 envié los documentos que me pidieron para actualizar mi nombre y aún no recibo respuesta ni veo actualizada la información, lo he hecho por correo y whatsapp. Cuánto tiempo más debo esperar? Graciasa."," ","bueno día , desde noviembre 2020 enviar el documento que me pedir parar actualizar mi nombrar y aun no recibir respuesta ni ver actualizar el información , el haber hacer por correar y whatsapp . cuánto tiempo más deber esperar ? graciasa ."
"Marielos Martinez Te hemos respondido vía inbox."," ","marielos martinez te haber responder vía inbox ."
"Buenas tardes yo quiero actulizar mi correo como tengo que hacer"," ","bueno tardar yo querer actulizar mi correar comer tener que hacer"
"EEliice Mmendez Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","eeliice mmendez hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"Hola quisiera saber mi papá en este mes cumple 50 años y cuenta con 10 años acotizando es verdad q puede retirar un 25por ciento de sus ahorros le agradecería la informacion"," ","hola querer saber mi papá en este mes cumplir 50 año y contar con 10 año acotizando ser verdad q poder retirar uno 25por ciento de su ahorro le agradecer el informacion"
"Mario Alfaro Hola, te compartimos los requisitos para solicitar el anticipo de saldo:"," ","mario alfaro hola , te compartir el requerir parar solicitar el anticipar de saldar :"
"Gracias"," ","gracia"
"Mario Alfaro Estamos para ayudarte."," ","mario alfaro estar parar ayudarte ."
"Yo quisiera saber mi estado de cuenta xf"," ","yo querer saber mi estar de contar xf"
"Carlos Daniel López Te hemos respondido vía inbox."," ","carlos daniel lópez te haber responder vía inbox ."
"Buenos días mi esposo quiere sacar SITA y no le contestan en el WhatsApp"," ","bueno día mi esposar querer sacar sito y no le contestar en el whatsapp"
"Maria Miranda Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","maria miranda hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"AFP Crecer ok gracias muy amable"," ","afp crecer ok gracia muy amable"
"Maria Miranda Estamos para ayudarte."," ","maria miranda estar parar ayudarte ."
"No puedo hacer una cita para un estado de cuenta me urge un estado para un trámite personal"," ","no poder hacer unir citar parar uno estar de contar me urgir uno estar parar uno trámite personal"
"Mary De Portillo Hola, te comentamos que puedes solicitar tu estado de cuenta por diferentes vías: "," ","mary de portillo hola , te comentar que poder solicitar tu estar de contar por diferente vía :"
"AFP Crecer ya lo hice a whatsapp y no me dan respuesta desde el vienes les escribi"," ","afp crecer ya el hacer a whatsapp y no me dar respuesta desde el venir les escribi"
"Mary De Portillo Te hemos respondido vía inbox."," ","mary de portillo te haber responder vía inbox ."
"Pero mucho cuesta que contesten yo me reporte y mi ingnoran el vídeo y fotos de mi documentación"," ","pero mucho costar que contestar yo me reportar y mi ingnoran el vídeo y foto de mi documentación"
"Igual he eviado los documentos por 2 veces no sé si los pierden y responden llame a tales números y le atenderán nunca contestan disculpen pero ya me canse"," ","igual haber eviado el documento por 2 vez no saber si el perder y responder llamar a tal número y le atender nunca contestar disculpar pero ya me cansar"
"Morena Martell Te hemos respondido vía inbox."," ","moreno martell te haber responder vía inbox ."
"Marco Tulio Santos Te hemos respondido vía inbox."," ","marcar tulio santo te haber responder vía inbox ."
"Exacto he tratado por llamadas, inbox, WhatsApp y correo electrónico y no tengo respuesta. Para sacar cita hay hasta marzo y tenemos este mes para la comprobación de sobrevivencia. Podrían ser tan gentiles en contestar por algún medio. "," ","exacto haber tratar por llamada , inbox , whatsapp y correar electrónico y no tener respuesta . parar sacar citar haber hasta marzo y tener este mes parar el comprobación de sobrevivencia . poder ser tan gentil en contestar por alguno mediar ."
"Angie Campos Te hemos respondido vía inbox."," ","angie campo te haber responder vía inbox ."
"Buenas tardes envie mi video y documento y no he recibido respuesta gracias."," ","bueno tardar envie mi video y documentar y no haber recibir respuesta gracia ."
"Lilian Alfaro Te hemos respondido vía inbox."," ","lilian alfaro te haber responder vía inbox ."
"Bendiciones y éxitos en sus labores cotidianas, como puedo hacer para que me llamen pues yo e cambiado de número telefónico."," ","bendición y éxito en su labor cotidiano , comer poder hacer parar que me llamar pues yo e cambiar de número telefónico ."
"Saravia Salvattorre , pues a mí siempre me han atendido con eficiencia pues no les llegó con la espada desenvainada a los empleados.Pero hoy que están publicando esto es que e entrado en un problema pues el número que ellos tienen yo ya no lo tengo , pero gracias voy a buscar las otras opciones de comunicación haber que me responden , gracias "," ","saravia salvattorre , pues a mí siempre me haber atender con eficiencia pues no les llegar con el espadar desenvainar a el empleados.pero hoy que estar publicar este ser que e entrar en uno problema pues el número que ellos tener yo ya no el tener , pero gracia ir a buscar el otro opción de comunicación haber que me responder , gracia"
"Oscar Roberto Romero BarrientosLe diré lo que hice la semana pasada en tiempo laboral por supuesto.Cambié de número e hice un correo electrónico, y también lo envié por cuenta de Twitter, y por último llamé al fijo y el joven amablemente me tomó el dato.Y solo espereme un minuto me dijo para actualizarlo.Y listo <U+0001F44D>Espero le sirva para que pueda actualizar su número."," ","oscar roberto romero barrientosle decir el que hacer el semana pasar en tiempo laboral por supuesto.cambié de número e hacer uno correar electrónico , y también el enviar por contar de twitter , y por último llamar al fijar y el joven amablemente me tomar el dato.y solo espereme uno minutar me decir parar actualizarlo.y listar <U+0001F44D> esperar le servir parar que poder actualizar su número ."
"Hortensia Gálvez , gracias muy amable , lo voy a intentar hacer ."," ","hortensia gálvez , gracia muy amable , el ir a intentar hacer ."
"Oscar Roberto Romero BarrientosOcupe todos los canales que dan y siempre queda registrado el movimiento que se hace Feliz Noche <U+0001F64F>"," ","oscar roberto romero barrientosocupe todo el canal que dar y siempre quedar registrar el movimiento que se hacer feliz noche <U+0001F64F>"
"Oscar Roberto Romero Barrientos Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","oscar roberto romero barrientos hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"Buenas noches, a mí me toca firmar en este mes"," ","bueno noche , a mí me tocar firmar en este mes"
"Ana AcevedoDebería de escribirles por WhatsApp, por correo electrónico y actualizar su número de teléfono si lo ha cambiado porque por ese medio tendrán que llamar y hacer un reconocimiento de la voz <U+0001F44D>Y la primera semana se hace ese movimiento porque si no no le saldría pensión, si no hasta el próximo mes.En noviembre le pasó a una amiga y se le olvidó y se lo cargaron hasta en diciembre."," ","ana acevedodebería de escribirles por whatsapp , por correar electrónico y actualizar su número de teléfono si el haber cambiar porque por ese mediar tener que llamar y hacer uno reconocimiento de el voz <U+0001F44D> y el 1 semana se hacer ese movimiento porque si no no le salir pensión , si no hasta el próximo mes.en noviembre le pasar a unir amigar y se le olvidar y se el cargar hasta en diciembre ."
"Ana Acevedo Hola, queremos cuidar de la salud de nuestros pensionados, por lo que hemos habilitado los siguientes canales para realizar la comprobación de sobrevivencia sin que se tenga que visitar una agencia: "," ","ana acevedo hola , querer cuidar de el salud de nuestro pensionado , por el que haber habilitar el siguiente canal parar realizar el comprobación de sobrevivencia sin que se tener que visitar unir agenciar :"
"Hola yo ami tambien me toca en este mes yno ayo como aser"," ","hola yo ami tambien me tocar en este mes yno ayo comer aser"
"Sandra Lorena Hernandez Marquez"," ","sandra lorena hernandez marquez"
"Sandra Lorena Hernandez Marquez Hola, queremos cuidar de la salud de nuestros pensionados, por lo que hemos habilitado los siguientes canales para realizar la comprobación de sobrevivencia sin que se tenga que visitar una agencia: "," ","sandra lorena hernandez marquez hola , querer cuidar de el salud de nuestro pensionado , por el que haber habilitar el siguiente canal parar realizar el comprobación de sobrevivencia sin que se tener que visitar unir agenciar :"
"Pero como es ??? Uno llama ??? O lo llaman a uno ???"," ","pero comer ser ? ? ? unir llamar ? ? ? o el llamar a unir ? ? ?"
"Liza López Hola, nuestros ejecutivos se pondrán en contacto con los pensionados a la brevedad posible.¡Saludos!"," ","liza lópez hola , nuestro ejecutivo se poner en contactar con el pensionado a el brevedad posible . ¡ saludo !"
"Gracias pr responder"," ","gracia pr responder"
"Liza López Estamos para ayudarte."," ","liza lópez estar parar ayudarte ."
"Buenas noches y eso del aumento de pension es para todps los poensionados o como es ???"," ","bueno noche y ese del aumentar de pension ser parar todps el poensionados o comer ser ? ? ?"
"Karlita E Martinez Hola, te comentamos que no existe Ley o Decreto que avale un aumento de pensión. Te invitamos a mantenerte informado por nuestras redes sociales.¡Saludos!"," ","karlita e martinez hola , te comentar que no existir ley o decretar que avalar uno aumentar de pensión . te invitar a mantenerte informar por nuestro red social . ¡ saludo !"
"Excelente "," ","excelente"
"Necesito hablar con el jefe de atención al cliente. Urgente"," ","necesitar hablar con el jefe de atención al cliente . urgente"
"Aquino Janeth Te hemos respondido vía inbox."," ","aquino janeth te haber responder vía inbox ."
"Quisiera saber despues de solicitado el anticipo del 25 % en cuanto tiempo se lo depositan en la cuenta y por q medio le avisan a uno"," ","querer saber despues de solicitar el anticipar del 25 % en cuanto tiempo se el depositar en el contar y por q mediar le avisar a unir"
"Rafael Fuentes Hola, el tiempo de desembolso es de 1 mes, tal como lo establece el BCR.  La información se brinda por la vía en la que has tenido comunicación.¡Saludos!"," ","rafael fuente hola , el tiempo de desembolsar ser de 1 mes , tal comer el establecer el bcr . el información se brindar por el vía en el que haber tener comunicación . ¡ saludo !"
"Nesecito un estado de cuenta como puedo hacer para odtenerla imformacion x favor"," ","nesecito uno estar de contar comer poder hacer parar odtenerla imformacion x favor"
"Yo dejé de trabajar.21años de cotizar sila empresa yano deposita cuál es la dinámica si midinero está ganando comisión.osolo por estar ahí."," ","yo dejar de trabajar . 21años de cotizar sila empresa yano depositar cuál ser el dinámico si midinero estar ganar comisión.osolo por estar ahí ."
"Demauriciodejrsus Grande Hola, te comentamos que para una devolución de saldo, la Ley señala que debes cumplir con la edad legal de retiro (55 años en el caso de las mujeres y 60 años en el caso de los hombres) siempre y cuando no cumplas con 25 años cotizados. Mientras no tengas la edad, no puedes solicitar la devolución del ahorro. Tu ahorro permanecerá en una cuenta a tu nombre ganando rentabilidad para que puedas utilizarlo llegada la edad. "," ","demauriciodejrsus grande hola , te comentar que parar unir devolución de saldar , el ley señalar que debe cumplir con el edad legal de retirar ( 55 año en el casar de el mujer y 60 año en el casar de el hombre ) siempre y cuando no cumplir con 25 año cotizar . mientras no tener el edad , no poder solicitar el devolución del ahorrar . tu ahorrar permanecer en unir contar a tu nombrar ganar rentabilidad parar que poder utilizarlo llegar el edad ."
"Ok"," ","ok"
"AFP Crecer si megustaria actualizar mis datos porque cambie mi coreo."," ","afp crecer si megustaria actualizar mi dato porque cambiar mi corear ."
"Demauriciodejrsus Grande Te hemos respondido vía inbox."," ","demauriciodejrsus grande te haber responder vía inbox ."
"Yo deje de trabajar hace 15 años  y como  podría  recuperar el dinero  cotizado pues ya por mi edad no encuentro trabajo ya no  podría  cotizar"," ","yo dejar de trabajar hacer 15 año y comer poder recuperar el dinero cotizar pues ya por mi edad no encontrar trabajar ya no poder cotizar"
"Princesitha Rodríguez Hola, te comentamos que para una devolución de saldo, la Ley señala que debes cumplir con la edad legal de retiro (55 años en el caso de las mujeres y 60 años en el caso de los hombres) siempre y cuando no cumplas con 25 años cotizados. Mientras no tengas la edad, no puedes solicitar la devolución del ahorro. Tu ahorro permanecerá en una cuenta a tu nombre ganando rentabilidad para que puedas utilizarlo llegada la edad. "," ","princesitha rodríguez hola , te comentar que parar unir devolución de saldar , el ley señalar que debe cumplir con el edad legal de retirar ( 55 año en el casar de el mujer y 60 año en el casar de el hombre ) siempre y cuando no cumplir con 25 año cotizar . mientras no tener el edad , no poder solicitar el devolución del ahorrar . tu ahorrar permanecer en unir contar a tu nombrar ganar rentabilidad parar que poder utilizarlo llegar el edad ."
"Tengo otra pregunta.trabaje 5años en otro lado porque no Melo reflejan en el estado de cuenta.tengo 21años más 5 en otro lado.serian 26"," ","tener otro pregunta.trabaje 5años en otro lado porque no melo reflejar en el estar de cuenta.tengo 21años más 5 en otro lado.serian 26"
"Demauriciodejrsus Grande Te hemos respondido vía inbox."," ","demauriciodejrsus grande te haber responder vía inbox ."
"Fíjese que yo perdí .mi coreo.ustedes lo tienen me lo podrían mandar para aber si es el mío.no puedo ingresar asu aplicación.porque me pide coreo."," ","fíjese que yo perder . mi coreo.ustedes el tener me el poder mandar parar aber si ser el mío.no poder ingresar asu aplicación.porque me pedir corear ."
"Demauriciodejrsus Grande Hola, para actualizar tus datos puedes llamar al 2211-9393, escribir al whatsapp 6161-2222, enviar un mensaje inbox en Facebook o Twitter, ingresar a tu usuario Crecer en https://enlinea.crecer.com.sv/ o escribir al correo atencion@crecer.com.sv y con mucho gusto te ayudaremos. Saludos."," ","demauriciodejrsus grande hola , parar actualizar tu dato poder llamar al 2211-9393 , escribir al whatsapp 6161-2222 , enviar uno mensaje inbox en facebook o twitter , ingresar a tu usuario crecer en https://enlinea.crecer.com.sv/ o escribir al correar atencion @crecer . com.sv y con mucho gustar te ayudar . saludo ."
"AFP Crecer buenas tardes una pregunta hace 3 años deje de cotizar que pasara con el dinero que tengo ahorrado me dijerón que para el 2022 lo entregaran es eso verda??"," ","afp crecer bueno tardar unir preguntar hacer 3 año dejar de cotizar que pasar con el dinero que tener ahorrar me dijerón que parar el 2022 el entregar ser ese verda ? ?"
"Marina Flores Hola, te comentamos que para una devolución de saldo, la Ley señala que debes cumplir con la edad legal de retiro (55 años en el caso de las mujeres y 60 años en el caso de los hombres) siempre y cuando no cumplas con 25 años cotizados. Mientras no tengas la edad, no puedes solicitar la devolución del ahorro. Tu ahorro permanecerá en una cuenta a tu nombre ganando rentabilidad para que puedas utilizarlo llegada la edad. "," ","marinar flor hola , te comentar que parar unir devolución de saldar , el ley señalar que debe cumplir con el edad legal de retirar ( 55 año en el casar de el mujer y 60 año en el casar de el hombre ) siempre y cuando no cumplir con 25 año cotizar . mientras no tener el edad , no poder solicitar el devolución del ahorrar . tu ahorrar permanecer en unir contar a tu nombrar ganar rentabilidad parar que poder utilizarlo llegar el edad ."
"Ok muchas gracias"," ","ok mucho gracia"
"Marina Flores Estamos para ayudarte."," ","marinar flor estar parar ayudarte ."
"Buenas tardes nesecito un. Estado de cuenta xfavor"," ","bueno tardar nesecito uno . estar de contar xfavor"
"Veronica Gonzalez Te hemos respondido vía inbox."," ","veronica gonzalez te haber responder vía inbox ."
"Buenas tardes e enviado mi video y doc de dui por wasap asi como lo envie en el mes de julio pero aun no tengo respuesta si fue recibido  llamo llamo a el númeri tel  y no contestan ¿q puedo hacer no quiero quedarme sin el abono de este mes"," ","bueno tardar e enviar mi video y doc de dui por wasap asi comer el envie en el mes de julio pero aun no tener respuesta si ir recibir llamar llamar a el númeri tel y no contestar ¿ q poder hacer no querer quedarme sin el abonar de este mes"
"Susy Lovos Te hemos respondido vía inbox."," ","susy lovos te haber responder vía inbox ."
"Anuncian una cosa y dicen otra como entenderle información distorsionada <U+0001F620><U+0001F620><U+0001F620><U+0001F620>"," ","anunciar unir coser y decir otro comer entenderle información distorsionar <U+0001F620> <U+0001F620> <U+0001F620> <U+0001F620>"
"Buenas noches, una consulta en el caso que una persona pensionada tenga un familiar con discapacidad, ¿puede incluirlo como beneficiario para poder gozar de la pensión de por vida?"," ","bueno noche , unir consultar en el casar que unir personar pensionado tener uno familiar con discapacidad , ¿ poder incluirlo comer beneficiario parar poder gozar de el pensión de por vida ?"
"Lizeth A. Hernandez Hola, te comentamos que los beneficiarios sólo pueden ser cónyuge, padre e hijos.¡Saludos!"," ","lizeth a . hernandez hola , te comentar que el beneficiario sólo poder ser cónyuge , padre e hijo . ¡ saludo !"
"Buenas noches decirme si dan cita por teléfono o en linea"," ","bueno noche decirme si dar citar por teléfono o en linear"
"Lily A. Portllo Hola, para agendar cita debes ingresar a bit.ly/CitaEnAgencia y escoger agencia, día y hora de tu visita. Saludos."," ","lily a . portllo hola , parar agendar citar debe ingresar a bit.ly / citaenagencia y escoger agenciar , día y hora de tu visitar . saludo ."
"Nesecito tramitar para anticipo del 25% como puedo sacar sita "," ","nesecito tramitar parar anticipar del 25 % comer poder sacar sito"
"Wilber Antonio Meléndez Hola, te compartimos los requisitos para solicitar el anticipo de saldo:Cumplir con la edad requerida por la Ley (50 años o más para hombres y 45 o más para mujeres) y contar con 10 años cotizados en el SAP.El trámite puede realizarlo: 1) Visitando una agencia agendando cita en: bit.ly/CitaEnAgencia2) Escribiendo al correo: atencion@crecer.com.sv 3) Desde su usuario web Crecer: bit.ly/UsuarioWebCrecer¡Saludos!"," ","wilber antonio meléndez hola , te compartir el requerir parar solicitar el anticipar de saldo:cumplir con el edad requerir por el ley ( 50 año o más parar hombre y 45 o más parar mujer ) y contar con 10 año cotizar en el sap.el trámite poder realizarlo : 1 ) visitar unir agenciar agendando citar en : bit.ly / citaenagencia2 ) escribir al correar : atencion @crecer . com.sv 3 ) desde su usuario web crecer : bit.ly / usuariowebcrecer ¡ saludo !"
"muchas gracias"," ","mucho gracia"
"Wilber Antonio Meléndez Estamos para ayudarte."," ","wilber antonio meléndez estar parar ayudarte ."
"AFP Crecer Charlie Florez  ahi está la información"," ","afp crecer charlie florez ahi estar el información"
"Quiero un estado de cuentas por favor"," ","querer uno estar de contar por favor"
"Yaya Espinoza Te hemos respondido vía inbox."," ","yaya espinoza te haber responder vía inbox ."
"Comoo puedo hacer para validar mii control d supervivencia"," ","comoo poder hacer parar validar mii control d supervivencia"
"Ivania Muñoz de Rivera Hola, queremos cuidar de la salud de nuestros pensionados, por lo que hemos habilitado los siguientes canales para realizar la comprobación de sobrevivencia sin que se tenga que visitar una agencia: "," ","ivania muñoz de rivera hola , querer cuidar de el salud de nuestro pensionado , por el que haber habilitar el siguiente canal parar realizar el comprobación de sobrevivencia sin que se tener que visitar unir agenciar :"
"Hola buenos días mí nombre es Noelia Cristina de blanco yo envié el vídeo con la documentación que piden para la comprobación de sobrevivencia de pensión lo envíe por telegram y nomean contestado será que ya lo vieron quiero asegurarme siya lo vieron porque no quisiera perder mí mensualidad"," ","hola bueno día mí nombrar ser noelia cristino de blanco yo enviar el vídeo con el documentación que pedir parar el comprobación de sobrevivencia de pensión el enviar por telegram y nomean contestar ser que ya el ver querer asegurarme siya el ver porque no querer perder mí mensualidad"
"Estrellita Garcia Te hemos respondido vía inbox."," ","estrellita garcia te haber responder vía inbox ."
"Yo pedi mi estado de cuenta y no pude verlo creo que mejor voy personalmente a traerlo"," ","yo pedi mi estar de contar y no poder verlo crear que mejor ir personalmente a traerlo"
"Candy Mazariego Te hemos respondido vía inbox."," ","candy mazariego te haber responder vía inbox ."
"Excelente ya se puede porque a mi ya me va a tocar reportarme  en julio me reporte!!"," ","excelente ya se poder porque a mi ya me ir a tocar reportarme en julio me reportar ! !"
"Mi suegra no ha hecho su declaración de supervivencia, ella recibe una pensión por sobrevivencia y no tiene WhatsApp"," ","mi suegro no haber hacer su declaración de supervivencia , él recibir unir pensión por sobrevivencia y no tener whatsapp"
"Jose Arevalo Hola, puede brindarle ayuda usted para que la información se envíe desde su celular. Le compartimos las diferentes formas por las cuales puede comprobar sobrevivencia: 1) Contactar vía whatsapp al 6161-2222 o mensajes inbox de Facebook e indicar el trámite para que el ejecutivo le brinde los pasos a seguir y la información que se requiere. 2) Ingresar al sitio web www.crecer.com.sv y agendar una cita para videollamada. Usted recibirá un enlace para la fecha y hora seleccionada y un ejecutivo se contactará con usted para llevar a cabo el trámite. 3) Realizar un video con tus datos (nombre completo, DUI, fecha y tipo de pensión) y enviarlo al correo comprobacion@crecer.com.sv o vía whatsapp al 6161-2222. 4) Si estrictamente desea hacerlo en agencia, debe ingresar a https://bit.ly/CitaEnAgencia y agendar cita para su visita. Lo ideal es que los trámites se realicen desde casa para evitar exponerse ante la crisis. Para cualquier duda o consulta, estamos a tus órdenes. Saludos."," ","jose arevalo hola , poder brindarle ayudar tú parar que el información se enviar desde su celular . le compartir el diferente forma por el cual poder comprobar sobrevivencia : 1 ) contactar vía whatsapp al 6161-2222 o mensaje inbox de facebook e indicar el trámite parar que el ejecutivo le brindar el paso a seguir y el información que se requerir . 2 ) ingresar al sitiar web www.crecer.com.sv y agendar unir citar parar videollamada . tú recibir uno enlazar parar el fechar y hora seleccionar y uno ejecutivo se contactar con tú parar llevar a cabo el trámite . 3 ) realizar uno video con tu dato ( nombrar completar , dui , fechar y tipo de pensión ) y enviarlo al correar comprobacion @crecer . com.sv o vía whatsapp al 6161-2222 . 4 ) si estrictamente desear hacerlo en agenciar , deber ingresar a https://bit.ly/citaenagencia y agendar citar parar su visitar . el ideal ser que el trámite se realizar desde casar parar evitar exponerse ante el crisis . parar cualquiera dudar o consultar , estar a tu orden . saludo ."
"AFP Crecer muchas gracias "," ","afp crecer mucho gracia"
"Jose Arevalo Estamos para ayudarte."," ","jose arevalo estar parar ayudarte ."
"AFP Crecer yo vivo lejos de ella, dice que le queda más fácil que la lleven a la AFP, puede ella llegar?"," ","afp crecer yo vivir lejos de él , decir que le quedar más fácil que el llevar a el afp , poder él llegar ?"
"Jose Arevalo Hola, para visitar una agencia debe debe ingresar a https://bit.ly/CitaEnAgencia  y agendar cita.Saludos."," ","jose arevalo hola , parar visitar unir agenciar deber deber ingresar a https://bit.ly/citaenagencia y agendar cita.saludos ."
"No puedo hacer la cita para el anticipo del 25%"," ","no poder hacer el citar parar el anticipar del 25 %"
"Olimpia Conde Hola, el trámite puede realizarlo: 1) Visitando una agencia agendando cita en: bit.ly/CitaEnAgencia2) Escribiendo al correo: atencion@crecer.com.sv 3) Desde su usuario web Crecer: bit.ly/UsuarioWebCrecerSaludos."," ","olimpia conde hola , el trámite poder realizarlo : 1 ) visitar unir agenciar agendando citar en : bit.ly / citaenagencia2 ) escribir al correar : atencion @crecer . com.sv 3 ) desde su usuario web crecer : bit.ly / usuariowebcrecersaludos ."
"Desde 2008dejedecotisar iyanoestoicotisando quebaapasarconlocotisado"," ","desde 2008dejedecotisar iyanoestoicotisando quebaapasarconlocotisado"
"Joseisabel Zamorahenrriques Hola, mientras no tengas la edad, no puedes solicitar la devolución del ahorro. Tu ahorro permanecerá en una cuenta a tu nombre ganando rentabilidad para que puedas utilizarlo llegada la edad. Puedes comunicarte al tel: 2211-9393 opción 1 de lunes a viernes 8am-5pm y sábado 8am-12pm. y con mucho gusto te brindaremos toda la información al respecto. Saludos."," ","joseisabel zamorahenrriques hola , mientras no tener el edad , no poder solicitar el devolución del ahorrar . tu ahorrar permanecer en unir contar a tu nombrar ganar rentabilidad parar que poder utilizarlo llegar el edad . poder comunicarte al tel : 2211-9393 opción 1 de lunes a viernes 8am-5pm y sábado 8am-12pm . y con mucho gustar te brindar todo el información al respectar . saludo ."
"Buenas tardes .. pagarán pensión a hijos q estudian hoy en enero??"," ","bueno tardar . . pagar pensión a hijo q estudiar hoy en enero ? ?"
"Emmi Lupita Barnica Hola, si se pagará. Recuerda que deben comprobar sobrevivencia y presentar constancia de estudios si ya son mayores de edad.Saludos. "," ","emmi lupita barnica hola , si se pagar . recordar que deber comprobar sobrevivencia y presentar constancia de estudio si ya ser mayor de edad.saludos ."
"AFP Crecer en ves de una constancia de estudio se puede presentar un comprobante de pago o inscripción de materias de forma virtual "," ","afp crecer en ve de unir constancia de estudiar se poder presentar uno comprobante de pagar o inscripción de materia de formar virtual"
"Emmi Lupita Barnica Hola, es necesario que se presente una constancia de estudios. Puede enviarse al correo atencion@crecer.com.svSaludos. "," ","emmi lupita barnica hola , ser necesario que se presentar unir constancia de estudio . poder enviarse al correar atencion @crecer . com.svsaludos ."
